requirement_id,disclosure_id,requirement_order,requirement_text_ko,data_required_type,input_schema,input_placeholder_ko,input_guidance_ko,created_at,updated_at
str-39,s2-s18,3,"물리적 리스크(폭염, 태풍, 가뭄 등)에 대한 시나리오별 정량 분석 데이터를 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""risk_type"",
""label"": ""리스크 유형"",
""type"": ""select"",
""options"": [""폭염"", ""태풍"", ""가뭄"", ""홍수"", ""수자원 스트레스""]
},
{
""name"": ""location"",
""label"": ""사업장/지역"",
""placeholder"": ""예: 청주, 용인, 중국 우시"",
""type"": ""text""
},
{
""name"": ""scenario"",
""label"": ""시나리오"",
""placeholder"": ""예: SSP1-2.6, SSP5-8.5"",
""type"": ""text""
},
{
""name"": ""year"",
""label"": ""연도"",
""placeholder"": ""예: 2030, 2040, 2050"",
""type"": ""number""
},
{
""name"": ""value"",
""label"": ""측정값 (증가량)"",
""placeholder"": ""예: 14.7"",
""type"": ""number""
},
{
""name"": ""unit"",
""label"": ""단위"",
""placeholder"": ""예: 일, mm, 건"",
""type"": ""text""
}
]
}",,,,
str-40,s2-s18,4,"위 표에서 선택한 각 물리적 리스크에 대해, 잠재적 재무 영향을 산정하기 위해 고려한 상세 항목과 산출 방식을 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""consideration_item"",
""label"": ""재무 영향 산정을 위해 고려한 항목"",
""placeholder"": ""예: 추가 전력 비용, 근로자 작업능력 저하"",
""type"": ""text""
},
{
""name"": ""calculation_method"",
""label"": ""산출 방식"",
""placeholder"": ""예: 폭염일수 증가에 따른 추가 전력량 및 설비 면적 기반으로 산출"",
""type"": ""text_long""
}
]
}",,,,
str-41,s2-s18,5,"잠재적 재무 영향에 대한 분석을 바탕으로, 각 물리적 리스크에 대한 시나리오별 연평균 예측 손실액을 아래 표에 추가하여 작성해주세요. (단위: 억원)",table_input,"{
""columns"": [
{
""name"": ""risk_type"",
""label"": ""물리적 리스크 유형"",
""type"": ""select"",
""options"": [""폭염"", ""태풍"", ""가뭄"", ""홍수"", ""수자원 스트레스""]
},
{
""name"": ""scenario"",
""label"": ""시나리오"",
""placeholder"": ""예: SSP1-2.6, SSP5-8.5"",
""type"": ""text""
},
{
""name"": ""year"",
""label"": ""연도"",
""placeholder"": ""예: 2030, 2050"",
""type"": ""number""
},
{
""name"": ""estimated_loss"",
""label"": ""예측 손실액 (억원)"",
""placeholder"": ""예: 12, 27"",
""type"": ""number""
}
]
}",,,,
str-42,s2-s19,1,"위에서 산정된 물리적 리스크로 인한 잠재적 재무 영향이 재무제표(손익계산서, 재무상태표, 현금흐름표)의 특정 계정에 구체적으로 어떻게 반영되는지 서술해주세요.",text_long,,,,,
str-43,s2-s20,1,"기후변화에 대응하여 전략 및 사업모형을 조정하고 적응시키는 기업의 핵심 역량이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""capacity_category"",
""label"": ""구분"",
""placeholder"": ""예: 그룹사 넷제로 전략 수립, 재무자원의 가용성 및 유연성"",
""type"": ""text""
},
{
""name"": ""capacity_description"",
""label"": ""정의"",
""placeholder"": ""해당 역량에 대한 구체적인 설명, 관련 활동, 기대효과 등을 서술해주세요."",
""type"": ""text_long""
}
]
}",,,,
str-44,s2-s21,1,"기후 회복력 평가 시 고려한 유의적인 불확실성 영역이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""uncertainty_category"",
""label"": ""구분"",
""placeholder"": ""예: 탄소 비용, 기후 모델"",
""type"": ""text""
},
{
""name"": ""definition"",
""label"": ""정의"",
""placeholder"": ""해당 불확실성 영역에 대한 간략한 정의를 서술해주세요."",
""type"": ""text_long""
},
{
""name"": ""uncertainty_details"",
""label"": ""불확실성"",
""placeholder"": ""해당 영역에 내재된 구체적인 불확실성 내용을 서술해주세요."",
""type"": ""text_long""
}
]
}",,,,
rsk-1,s2-r2,1,"기후 관련 위험 및 기회 식별/평가 프로세스에 사용한 주요 투입변수, 매개변수 및 해당 데이터의 원천을 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""input_variable"",
""label"": ""투입변수 및 매개변수"",
""placeholder"": ""예: 정책 이행 수준, 온실가스 배출량 추이"",
""type"": ""text""
},
{
""name"": ""data_source"",
""label"": ""데이터 원천"",
""placeholder"": ""예: 환경부 및 산업통상자원부, 회사 내부 데이터"",
""type"": ""text_long""
}
]
}",,,,
rsk-2,s2-r3,1,"기업이 기후 관련 위험 식별 시, 기후 시나리오 분석을 사용하는지 여부와, 만약 사용한다면 어떻게 활용하는지에 대해 설명해주세요.",text_long,,"예: 기후 시나리오 분석을 통해 잠재적 위험/기회의 영향을 파악하고, 이를 대응 활동 및 관리체계 강화에 활용합니다.",,,
rsk-3,s2-r4,1,기업 내부적으로 기후 관련 위험의 '발생가능성'과 '영향'을 평가하는 핵심적인 프로세스나 방법론은 무엇인가요?,text_long,,"예: 기후변화 시나리오 분석을 활용하며, 리스크 식별, 관련성 평가, 시나리오 선정 등의 단계를 거쳐 종합적으로 분석하고, 최종적으로 주요 리스크를 식별하여 대응 전략을 검토합니다.",,,
rsk-4,s2-r4,2,위험 평가 과정의 객관성과 전문성을 높이기 위해 활용하는 외부 전문가 자문이나 외부 데이터/분석 도구가 있다면 구체적으로 설명해주세요.,text_long,,"예: 투자 분석가, 교수 등으로 구성된 외부 전문가 패널의 의견을 반영합니다. 또한, 물리적 리스크 분석을 위해 S&P사의 Climanomics 도구를 활용합니다",,,
rsk-5,s2-r5,1,"기업의 전사적 위험 관리(ERM) 체계에 기후 관련 위험이 어떻게 통합되어 있으며, 일반적인 위험 평가 기준(예: 재무/비재무 영향, 발생가능성)은 무엇인가요?",text_long,,"예: 기후 관련 위험을 전사적 위험 관리 체계에 통합하여, 재무/비재무적 영향과 발생가능성을 종합적으로 고려해 평가합니다.",,,
rsk-6,s2-r5,2,"기후 위험의 우선순위를 정하기 위해 사용하는 특별한 평가 방법론(예: 이중 중대성 평가)이 있다면, 그 과정(내부 분석, 외부 이해관계자 평가 등)을 설명해주세요.",text_long,,"예: 내부적으로는 시나리오 분석을 통한 재무 영향을, 외부적으로는 이해관계자 서베이를 통한 사회·환경적 영향을 종합하여 우선순위를 결정합니다.",,,
rsk-7,s2-r5,3,기후 위험 평가 결과 및 대응 활동은 내부적으로 어떻게 보고되고 외부에 공개되나요?,text,,"예: 경영진 및 관련 위원회에 주기적으로 보고하며, CDP 등 외부 이니셔티브를 통해 공개합니다.",,,
rsk-8,s2-r6,1,기업이 기후 관련 위험 및 기회를 지속적으로 모니터링하기 위해 추적하는 주요 지표나 매개변수를 아래에 항목별로 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""parameter_name"",
""label"": ""모니터링 지표/매개변수"",
""placeholder"": ""예: 정책 이행 수준"",
""type"": ""text""
}
]
}",,,,
rsk-9,s2-r6,2,"위 지표들의 변화에 따라, 기업의 리스크 평가나 시나리오 분석을 업데이트하는 절차는 어떻게 되나요? 최근의 주요 업데이트 사례가 있다면 함께 설명해주세요.",text_long,,예: 주요 지표에 중대한 변화 발생 시 시나리오 분석을 업데이트합니다. 2023년에는 물리적 리스크 심화 가능성에 따라 4.0℃ 시나리오 분석을 추가했습니다.,,,
rsk-10,s2-r6,3,"이러한 지속적인 모니터링 과정을 감독하고 검토하는 의사결정기구(위원회, 조직 등)의 역할에 대해 설명해주세요.",text_long,,"예: 지속가능경영위원회는 전반적인 성과와 진행 상황을 모니터링하며, 감사단은 독립적인 점검을 수행하여 감사위원회에 보고합니다.",,,
rsk-11,s2-r7,1,"과거 보고기간과 비교하여, 기후 관련 위험 및 기회 관리 프로세스에 변경사항이 있다면 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""process_category"",
""label"": ""프로세스 구분"",
""placeholder"": ""예: 위험 식별 프로세스, 이중 중대성 평가 방법론"",
""type"": ""text""
},
{
""name"": ""change_description"",
""label"": ""주요 변경 내용"",
""placeholder"": ""구체적으로 어떤 부분이 어떻게 변경되었는지 서술해주세요."",
""type"": ""text_long""
},
{
""name"": ""change_reason"",
""label"": ""변경 사유"",
""placeholder"": ""해당 프로세스를 변경한 이유나 배경을 서술해주세요."",
""type"": ""text_long""
}
]
}",,,,
met-1,s2-m2,1,"기업의 연도별 온실가스 배출량(Scope 1, 2, 3)을 아래의 고정된 양식에 맞춰 입력해주세요. (단위: tCO2eq)",ghg_emissions_input,"{
""categories"": [
""Scope 1"",
""Scope 2"",
""Scope 3"",
"" C1 제품 및 서비스 구매"",
"" C2 자본재"",
"" C3 구매연료 및 에너지"",
"" C4 업스트림 운송&유통"",
"" C5 사업장 발생 폐기물"",
"" C6 임직원 출장"",
"" C7 통근"",
"" C8 임차자산(Upstream)"",
"" C9 Downstream 운송&유통"",
"" C10 판매제품 가공"",
"" C11 판매 제품 사용"",
"" C12 판매 제품 폐기"",
"" C13 임대자산(Downstream)"",
"" C14 프랜차이즈"",
"" C15 투자"",
""합계""
]
}",,,,
met-2,s2-m3,1,Scope별 온실가스 배출량 측정을 위해 적용한 지침을 아래의 고정된 양식에 맞춰 작성해주세요.,ghg_emissions_input,"{
""rows"": [
{ ""key"": ""scope1"", ""label"": ""Scope 1"" },
{ ""key"": ""scope2"", ""label"": ""Scope 2"" },
{ ""key"": ""scope3"", ""label"": ""Scope 3"" }
],
""value_column"": {
""label"": ""적용 지침"",
""type"": ""text_long"",
""placeholder"": ""적용된 산정 방법론, 기준, 지침 등을 서술해주세요.""
}
}",,,,
met-3,s2-m4,1,Scope별 온실가스 배출량 산정에 포함된 온실가스 종류를 아래 표에 체크하여 표시해주세요.,ghg_gases_input,"{
""rows"": [
{ ""key"": ""scope1"", ""label"": ""Scope 1"" },
{ ""key"": ""scope2"", ""label"": ""Scope 2"" },
{ ""key"": ""scope3"", ""label"": ""Scope 3"" }
],
""columns"": [
{ ""key"": ""co2"", ""label"": ""CO₂"" },
{ ""key"": ""ch4"", ""label"": ""CH₄"" },
{ ""key"": ""n2o"", ""label"": ""N₂O"" },
{ ""key"": ""hfcs"", ""label"": ""HFCs"" },
{ ""key"": ""pfcs"", ""label"": ""PFCs"" },
{ ""key"": ""sf6"", ""label"": ""SF₆"" },
{ ""key"": ""nf3"", ""label"": ""NF₃"" }
]
}",,,,
met-4,s2-m5,1,"Scope 1, 2 온실가스 배출량 측정을 위해 적용한 접근법, 투입변수, 가정을 아래의 고정된 양식에 맞춰 작성해주세요.",ghg_scope12_approach_input,"{
""rows"": [
{ ""key"": ""scope1"", ""label"": ""Scope 1"" },
{ ""key"": ""scope2"", ""label"": ""Scope 2"" }
],
""columns"": [
{
""key"": ""input_variables"",
""label"": ""투입변수"",
""sub_columns"": [
{
""key"": ""activity_data"",
""label"": ""활동데이터"",
""sub_columns"": [
{ ""key"": ""activity_content"", ""label"": ""내용"" },
{ ""key"": ""activity_type"", ""label"": ""유형"" }
]
},
{
""key"": ""emission_factor"",
""label"": ""배출계수"",
""sub_columns"": [
{ ""key"": ""factor_content"", ""label"": ""내용"" },
{ ""key"": ""factor_source"", ""label"": ""출처"" }
]
}
]
},
{
""key"": ""key_assumptions"",
""label"": ""주요 가정""
}
]
}",,,,
met-5,s2-m5,2,"Scope 3의 15개 카테고리별 온실가스 배출량 측정을 위해 적용한 접근법, 투입변수, 가정을 아래의 고정된 양식에 맞춰 작성해주세요.",ghg_scope3_approach_input,"{
""rows"": [
{ ""key"": ""c1"", ""label"": ""C1 제품 및 서비스 구매"" },
{ ""key"": ""c2"", ""label"": ""C2 자본재"" },
{ ""key"": ""c3"", ""label"": ""C3 구매연료 및 에너지"" },
{ ""key"": ""c4"", ""label"": ""C4 업스트림 운송&유통"" },
{ ""key"": ""c5"", ""label"": ""C5 사업장 발생 폐기물"" },
{ ""key"": ""c6"", ""label"": ""C6 임직원 출장"" },
{ ""key"": ""c7"", ""label"": ""C7 통근"" },
{ ""key"": ""c8"", ""label"": ""C8 임차자산(Upstream)"" },
{ ""key"": ""c9"", ""label"": ""C9 Downstream 운송&유통"" },
{ ""key"": ""c10"", ""label"": ""C10 판매제품 가공"" },
{ ""key"": ""c11"", ""label"": ""C11 판매 제품 사용"" },
{ ""key"": ""c12"", ""label"": ""C12 판매 제품 폐기"" },
{ ""key"": ""c13"", ""label"": ""C13 임대자산(Downstream)"" },
{ ""key"": ""c14"", ""label"": ""C14 프랜차이즈"" },
{ ""key"": ""c15"", ""label"": ""C15 투자"" }
],
""columns"": [
{
""key"": ""input_variables"",
""label"": ""투입변수"",
""sub_columns"": [
{
""key"": ""activity_data"",
""label"": ""활동데이터"",
""sub_columns"": [
{ ""key"": ""activity_content"", ""label"": ""내용"" },
{ ""key"": ""activity_type"", ""label"": ""유형"" }
]
},
{
""key"": ""emission_factor"",
""label"": ""배출계수"",
""sub_columns"": [
{ ""key"": ""factor_content"", ""label"": ""내용"" },
{ ""key"": ""factor_source"", ""label"": ""출처"" }
]
}
]
},
{
""key"": ""key_assumptions"",
""label"": ""주요 가정""
}
]
}",,,,
met-6,s2-m6,1,"Scope 2 온실가스 배출량(시장기준)과 관련된 계약 상품 정보가 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""contract_instrument"",
""label"": ""계약수단"",
""placeholder"": ""예: 녹색프리미엄, REC(재생에너지 공급인증서) 구매"",
""type"": ""text""
},
{
""name"": ""energy_source"",
""label"": ""에너지원"",
""placeholder"": ""예: 태양광, 풍력"",
""type"": ""text""
},
{
""name"": ""usage_mwh"",
""label"": ""사용량(MWh)"",
""placeholder"": ""예: 12345"",
""type"": ""number""
},
{
""name"": ""contract_period"",
""label"": ""계약기간"",
""placeholder"": ""예: 2023-01-01 ~ 2023-12-31"",
""type"": ""text""
}
]
}",,,,
met-7,s2-m7,1,"기후 관련 '전환 위험'에 취약한 자산/사업활동, 그에 따른 잠재적 위험, 그리고 대응 노력을 아래에 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""vulnerable_asset"",
""label"": ""취약 자산/사업활동"",
""type"": ""text"",
""placeholder"": ""예: 국내 담배 사업부문 사업장""
},
{
""name"": ""potential_risk"",
""label"": ""잠재적 위험 상세 설명"",
""type"": ""text_long"",
""placeholder"": ""어떤 잠재적 위험(규제, 기술, 시장 등)에 노출되어 있는지 구체적으로 서술해주세요.""
},
{
""name"": ""mitigation_effort"",
""label"": ""대응 노력"",
""type"": ""text_long"",
""placeholder"": ""해당 위험에 대응하기 위한 구체적인 활동 및 계획을 서술해주세요.""
}
]
}",,,,
met-8,s2-m7,2,위에서 식별된 전환 위험 취약 자산/사업활동의 금액과 그 산정 기준을 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""vulnerable_asset"",
""label"": ""자산/사업활동"",
""placeholder"": ""예: 국내 전자 사업부문 사업장"",
""type"": ""text""
},
{
""name"": ""monetary_value"",
""label"": ""금액 (단위: 억원)"",
""placeholder"": ""금액을 숫자로만 입력"",
""type"": ""number""
},
{
""name"": ""calculation_basis"",
""label"": ""산정 기준"",
""placeholder"": ""예: 해당 사업장의 장부가액 기준"",
""type"": ""text_long""
}
]
}",,,,
met-9,s2-m8,1,"기후 관련 '물리적 위험'에 취약한 자산/사업활동, 그에 따른 잠재적 위험, 그리고 대응 노력을 아래에 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""vulnerable_asset"",
""label"": ""취약 자산/사업활동"",
""type"": ""text"",
""placeholder"": ""예: 국내 담배 사업부문 사업장""
},
{
""name"": ""potential_risk"",
""label"": ""잠재적 위험 상세 설명"",
""type"": ""text_long"",
""placeholder"": ""어떤 잠재적 위험(규제, 기술, 시장 등)에 노출되어 있는지 구체적으로 서술해주세요.""
},
{
""name"": ""mitigation_effort"",
""label"": ""대응 노력"",
""type"": ""text_long"",
""placeholder"": ""해당 위험에 대응하기 위한 구체적인 활동 및 계획을 서술해주세요.""
}
]
}",,,,
met-10,s2-m8,2,위에서 식별된 물리적 위험 취약 자산/사업활동의 금액과 그 산정 기준을 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""vulnerable_asset"",
""label"": ""지역/자산명"",
""placeholder"": ""예: 청주 사업장"",
""type"": ""text""
},
{
""name"": ""monetary_value"",
""label"": ""금액 (단위: 억원)"",
""placeholder"": ""금액을 숫자로만 입력"",
""type"": ""number""
},
{
""name"": ""calculation_basis"",
""label"": ""산정 기준"",
""placeholder"": ""예: 해당 사업장의 장부가액 기준"",
""type"": ""text_long""
}
]
}","예: 해당 지역은 극한기온 및 수자원 부족 리스크가 2030년대 이후 높아질 것으로 분석됨. 다만, 현재까지 직접적인 피해 이력은 없음.",,,
met-11,s2-m9,1,"기업이 어떤 사업활동을 '기후 관련 기회'로 분류하는지, 그 판단 기준이나 근거(예: EU Taxonomy)를 설명해주세요.",text_long,,예: EU Taxonomy에 따라 적격/적합 경제활동으로 분류된 사업활동을 기회로 분류,,,
met-12,s2-m9,2,위에서 작성한 기준에 따라 식별된 각 기회 요인의 재무적 가치를 아래 표에 추가하여 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""asset_activity"",
""label"": ""자산 및 사업활동"",
""placeholder"": ""예: 저탄소 제품 라인, 에너지 효율 개선 사업"",
""type"": ""text""
},
{
""name"": ""revenue"",
""label"": ""매출액 (단위: 억원)"",
""placeholder"": ""숫자만 입력"",
""type"": ""number""
},
{
""name"": ""capex"",
""label"": ""자본지출 (단위: 억원)"",
""placeholder"": ""숫자만 입력"",
""type"": ""number""
}
]
}",,,,
met-13,s2-m11,1,기업의 내부 탄소 가격(Internal Carbon Price)은 얼마로 설정되어 있나요? (단위 포함),text,,,,,
met-14,s2-m11,2,내부 탄소 가격제의 운영 방식을 아래 고정된 양식에 맞춰 작성해주세요.,internal_carbon_price_input,"{
""rows"": [
{ ""key"": ""application_method"", ""label"": ""의사결정 적용여부 및 방법"" },
{ ""key"": ""application_scope"", ""label"": ""구체적 적용 범위"" },
{ ""key"": ""calculation_methodology"", ""label"": ""주요한 가정 및 계산 방법론"" }
]
}",,,,
met-15,s2-m11,3,"내부 탄소 가격제를 적용한 주요 사례와, 이를 통해 유도된 긍정적 효과(예: 투자회수기간 단축)에 대해 구체적으로 서술해주세요.",text_long,,,,,
met-16,s2-m12,1,"경영진 보상에 기후 관련 사항이 어떻게 고려되는지, 관련 정책이나 최근 변경사항을 아래에 항목별로 추가하여 설명해주세요",structured_list,"{
""fields"": [
{
""name"": ""policy_target"",
""label"": ""적용 대상/목표"",
""type"": ""text"",
""placeholder"": ""예: C-level 경영진, CEO 단기 경영목표""
},
{
""name"": ""policy_description"",
""label"": ""주요 내용 (정책 또는 변경사항)"",
""type"": ""text_long"",
""placeholder"": ""예: ESG 지표 가중치를 5%에서 10%로 확대""
},
{
""name"": ""effective_date"",
""label"": ""적용/변경 시점 (선택 사항)"",
""type"": ""text"",
""placeholder"": ""예: 2024년 4월""
}
]
}",,,,
met-17,s2-m12,2,"당기 성과평가에 반영된 주요 기후 관련 KPI와, 해당 KPI가 경영진 보상에 연계된 백분율(%) 정보를 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""target_executive"",
""label"": ""대상"",
""placeholder"": ""예: CEO, 전체 경영진"",
""type"": ""text""
},
{
""name"": ""kpi_name"",
""label"": ""주요 KPI"",
""placeholder"": ""예: 온실가스 감축 목표 달성률"",
""type"": ""text""
},
{
""name"": ""compensation_percentage"",
""label"": ""연계 보상 백분율 (%)"",
""placeholder"": ""숫자만 입력 (예: 10)"",
""type"": ""number""
}
]
}",,,,
met-18,s2-m14,1,목표의 기준이 되는 기준연도는 몇 년도인가요?,number,예: 2021,,,,
met-19,s2-m14,2,목표의 중간연도는 몇 년도인가요?,number,예: 2030,,,,
met-20,s2-m14,3,목표의 최종연도는 몇 년도인가요?,number,예: 2045,,,,
met-21,s2-m14,4,"설정한 연도에 맞춰, 기업의 주요 기후 관련 목표를 아래 표에 작성해주세요.",table_input,"{
""columns"": [
{ ""name"": ""target_metric"", ""label"": ""목표지표"", ""type"": ""text"" },
{ ""name"": ""scope"", ""label"": ""범위"", ""type"": ""text"" },
{ ""name"": ""target_type"", ""label"": ""목표유형"", ""type"": ""select"", ""options"": [""절대량 목표"", ""원단위 목표""] }
],
""dynamic_columns_from"": [
{ ""label_prefix"": ""기준연도 ("", ""label_suffix"": "")"", ""value_key"": ""baseline_value"", ""source_req_id"": ""met-18"" },
{ ""label_prefix"": ""중간 목표 ("", ""label_suffix"": "")"", ""value_key"": ""interim_value"", ""source_req_id"": ""met-19"" },
{ ""label_prefix"": ""최종 목표 ("", ""label_suffix"": "")"", ""value_key"": ""final_value"", ""source_req_id"": ""met-20"" }
]
}",,,,
met-22,s2-m16,1,"기업의 기후 관련 목표 및 데이터에 대해 제3자 검증 또는 인증을 받은 사례가 있다면, 아래 형식에 맞춰 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""verification_scope"",
""label"": ""검증 대상"",
""type"": ""text"",
""placeholder"": ""예: Scope 1, 2 온실가스 배출량 (2023년 데이터)""
},
{
""name"": ""verifier"",
""label"": ""검증 기관"",
""type"": ""text"",
""placeholder"": ""예: KPMG, 한국경영인증원(KMR)""
},
{
""name"": ""verification_standard"",
""label"": ""검증 기준/표준"",
""type"": ""text"",
""placeholder"": ""예: ISO 14064-3, ISAE 3000""
},
{
""name"": ""assurance_level"",
""label"": ""검증 수준"",
""type"": ""select"",
""options"": [""제한된 수준의 검증 (Limited Assurance)"", ""합리적인 수준의 검증 (Reasonable Assurance)""]
},
{
""name"": ""verification_opinion"",
""label"": ""검증 의견 (결과 요약)"",
""type"": ""text_long"",
""placeholder"": ""검증 보고서에 명시된 최종 의견이나 주요 결과를 요약하여 작성해주세요.""
}
]
}",,,,
met-23,s2-m17,1,"기후 관련 목표를 검토하고 관리하기 위한 주요 내부 프로세스나 제도가 있다면, 그 내용을 아래에 항목별로 추가하여 설명해주세요.",structured_list,"{
""fields"": [
{
""name"": ""process_name"",
""label"": ""프로세스/제도명 또는 주요 활동"",
""type"": ""text"",
""placeholder"": ""예: 전사 에너지 결산제 도입, 해외 사업장 확대""
},
{
""name"": ""process_details"",
""label"": ""상세 내용"",
""type"": ""text_long"",
""placeholder"": ""해당 프로세스의 목적, 운영 방식, 내용 등을 구체적으로 서술해주세요.""
},
{
""name"": ""process_date"",
""label"": ""도입/시행 시점 (선택)"",
""type"": ""text"",
""placeholder"": ""예: 2022년부터""
}
]
}",,,,
met-24,s2-m18,1,각 기후 관련 목표의 진척도를 모니터링하는 데 사용하는 지표를 아래 형식에 맞춰 작성해주세요.,table_input,"{
""source_requirement"": ""met-21"",
""source_field_to_display"": ""target_metric"",
""columns"": [
{
""name"": ""progress_metric"",
""label"": ""진척도 모니터링 지표"",
""type"": ""text"",
""placeholder"": ""목표 달성 여부를 추적하기 위해 사용하는 구체적인 지표를 서술해주세요.""
},
{
""name"": ""interim_target_recap"",
""label"": ""중장기 목표"",
""type"": ""text"",
""placeholder"": ""달성하고자 하는 중장기 목표를 다시 한번 기재하거나 상세히 서술해주세요.""
},
{
""name"": ""final_target_recap"",
""label"": ""최종목표"",
""type"": ""text"",
""placeholder"": ""달성하고자 하는 최종 목표를 다시 한번 기재하거나 상세히 서술해주세요.""
}
]
}",,,,
met-25,s2-m19,1,"기존에 설정한 기후 관련 목표에 수정사항이 있었다면, 아래 형식에 맞춰 변경 내용을 작성해주세요.",table_input,"{
""source_requirements"": [
{
""requirement_id"": ""met-21"",
""field_to_display"": ""target_metric"",
""display_label"": ""목표지표""
},
{
""requirement_id"": ""met-24"",
""field_to_display"": ""progress_metric"",
""display_label"": ""진척도 모니터링 지표""
}
],
""columns"": [
{
""name"": ""achievement_timeframe"",
""label"": ""달성 시점"",
""type"": ""text"",
""placeholder"": ""예: 2030년""
},
{
""name"": ""before_revision"",
""label"": ""수정 전"",
""type"": ""text_long"",
""placeholder"": ""수정 전 목표 내용을 기재""
},
{
""name"": ""after_revision"",
""label"": ""수정 후"",
""type"": ""text_long"",
""placeholder"": ""수정 후 목표 내용을 기재""
}
]
}",,,,
met-26,s2-m20,1,설정한 기후 관련 목표 대비 당기의 성과를 아래 형식에 맞춰 작성해주세요. (목표 및 지표는 이전에 작성한 내용이 자동으로 표시됩니다.),performance_tracking_input,"{
""source_requirement"": ""met-21"",
""columns"": [
{
""key"": ""target_metric"",
""label"": ""목표지표"",
""source_req_id"": ""met-21"",
""source_field"": ""target_metric"",
""type"": ""read_only""
},
{
""key"": ""progress_metric"",
""label"": ""진척도 모니터링 지표"",
""source_req_id"": ""met-24"",
""source_field"": ""progress_metric"",
""type"": ""read_only""
},
{
""key"": ""previous_year_performance"",
""label"": ""전년도 실적"",
""source"": ""user_input"",
""type"": ""text"",
""placeholder"": ""전년도 성과 입력""
},
{
""key"": ""current_year_performance"",
""label"": ""당년도 실적"",
""source"": ""user_input"",
""type"": ""text"",
""placeholder"": ""당년도 성과 입력""
},
{
""key"": ""interim_target"",
""label"": ""중간 목표"",
""source_req_id"": ""met-21"",
""source_field"": ""interim_value"",
""type"": ""read_only""
},
{
""key"": ""final_target"",
""label"": ""최종목표"",
""source_req_id"": ""met-21"",
""source_field"": ""final_value"",
""type"": ""read_only""
}
]
}",,,,
met-27,s2-m10,1,기후 관련 위험 및 기회에 대응하기 위해 투입된 자본 정보를 아래 표에 추가하여 작성해주세요.,table_input,"{
  ""columns"": [
    {
      ""name"": ""category"",
      ""label"": ""구분"",
      ""placeholder"": ""예: 온실가스 감축설비 투자, 신재생에너지 투자"",
      ""type"": ""text""
    },
    {
      ""name"": ""amount_krw_million"",
      ""label"": ""금액 (단위: 백만원)"",
      ""placeholder"": ""숫자만 입력"",
      ""type"": ""number""
    },
    {
      ""name"": ""details"",
      ""label"": ""세부사항"",
      ""placeholder"": ""관련된 세부 내용을 서술해주세요."",
      ""type"": ""text_long""
    }
  ]
}",,,,
met-28,s2-m19,2,수정사항이 있었다면 그 사유에 대해서 설명해주세요.,text_long,,,,,
gen-1,s2-gen,1,"보고서의 발행 연도, 대상 기업, 보고 기간을 입력해 주세요.",structured_list,"{
  ""fields"": [
    {
      ""name"": ""company_name"",
      ""label"": ""기업명"",
      ""type"": ""text"",
      ""placeholder"": ""기업명을 입력하세요"",
      ""required"": true
    },
    {
      ""name"": ""report_year"",
      ""label"": ""보고서 발행년도"",
      ""type"": ""number"",
      ""placeholder"": ""YYYY"",
      ""required"": true
    },
    {
      ""name"": ""start_date"",
      ""label"": ""보고 시작일자"",
      ""type"": ""date"",
      ""required"": true
    },
    {
      ""name"": ""end_date"",
      ""label"": ""보고 종료일자"",
      ""type"": ""date"",
      ""required"": true
    }
  ]
}",,,,
